numero_cliente;regional;safra_inicio_obras;nps_vistoria;faixa_renda;idade;filhos;sexo;estado_civil;escolaridade;meses_para_entrega;status_assistencia;acionamentos_assistencia;nps_6m;nps_6m_target
2066;CE;2023-2S;Promotor;FAIXA 1;30;0;0;Solteiro(a);Médio Completo;20;AMBOS TIPOS;3;Neutro;1
2067;CE;2023-2S;Promotor;FAIXA 1;25;0;0;Solteiro(a);Superior Completo;20;Não Solicitou;0;Detrator;0
2068;CE;2023-2S;Promotor;FAIXA 3;45;1;1;Divorciado(a);Médio Completo;20;AMBOS TIPOS;1;Detrator;0
2069;CE;2023-2S;Neutro;FAIXA 1;39;0;0;Solteiro(a);Superior Completo;20;Procedente;4;Detrator;0
2070;CE;2023-2S;Promotor;FAIXA 2;45;1;1;Solteiro(a);Médio Completo;20;Procedente;1;Detrator;0
2071;CE;2023-2S;Promotor;FAIXA 1;36;1;1;Divorciado(a);Superior Completo;20;Procedente;4;Promotor;2
2072;CE;2023-2S;Promotor;FAIXA 1;29;0;0;Solteiro(a);Médio Completo;20;Procedente;2;Promotor;2
2073;CE;2023-2S;Detrator;FAIXA 1;26;0;0;Solteiro(a);Médio Completo;20;Não Solicitou;0;Detrator;0
2074;BA;2022-2S;Promotor;FAIXA 2;42;0;0;Solteiro(a);Superior Completo;28;Não Solicitou;0;Neutro;1
2075;BA;2022-2S;Detrator;FAIXA 1;32;0;0;Divorciado(a);Superior Completo;28;Procedente;2;Detrator;0
2076;BA;2022-2S;Promotor;FAIXA 3;41;0;0;Solteiro(a);Médio Completo;28;Procedente;2;Promotor;2
2077;BA;2022-2S;Detrator;FAIXA 3;55;0;0;Solteiro(a);Superior Completo;28;Improcedente;0;Detrator;0
2078;BA;2022-2S;Neutro;FAIXA 1;32;0;0;Solteiro(a);Médio Completo;28;Não Solicitou;0;Neutro;1
2079;BA;2022-2S;Detrator;FAIXA 3;40;0;0;Solteiro(a);Médio Completo;28;Não Solicitou;0;Detrator;0
2080;BA;2022-2S;Neutro;FAIXA 2;32;0;0;Solteiro(a);Superior Completo;28;Não Solicitou;0;Detrator;0
2081;BA;2022-2S;Promotor;FAIXA 2;38;0;0;Solteiro(a);Médio Completo;28;AMBOS TIPOS;2;Detrator;0
2082;BA;2022-1S;Neutro;FAIXA 2;38;0;0;Solteiro(a);Médio Completo;25;Não Solicitou;0;Detrator;0
2083;BA;2021-1S;Promotor;FAIXA 2;38;0;0;Solteiro(a);Doutorado;26;AMBOS TIPOS;4;Promotor;2
2084;CPS;2022-1S;Promotor;FAIXA 2;20;0;0;Solteiro(a);Médio Completo;32;AMBOS TIPOS;1;Detrator;0
2085;BA;2022-2S;Detrator;FAIXA 2;39;0;0;Solteiro(a);Superior Completo;28;Procedente;4;Detrator;0
2086;BA;2022-2S;Detrator;FAIXA 3;46;0;0;Divorciado(a);Superior Completo;28;Procedente;6;Detrator;0
2087;BA;2023-1S;Neutro;FAIXA 1;36;1;1;Solteiro(a);Médio Completo;23;Não Solicitou;0;Promotor;2
2088;BA;2023-1S;Promotor;FAIXA 1;21;0;0;Solteiro(a);Médio Completo;23;Não Solicitou;0;Promotor;2
2089;GO;2023-1S;Promotor;FAIXA 1;33;1;1;Solteiro(a);Médio Completo;15;Não Solicitou;0;Promotor;2
2090;RS;2023-1S;Neutro;FAIXA 1;41;2;2;Solteiro(a);Médio Completo;22;AMBOS TIPOS;1;Detrator;0
2091;BA;2022-2S;Detrator;FAIXA 3;39;0;0;Divorciado(a);Médio Completo;28;Procedente;8;Detrator;0
2092;BA;2022-2S;Neutro;FAIXA 3;45;0;0;Casado(a);Médio Completo;28;Não Solicitou;0;Detrator;0
2093;BA;2022-2S;Detrator;FAIXA 1;38;0;0;Solteiro(a);Superior Completo;28;Procedente;3;Detrator;0
2094;RS;2023-2S;Promotor;FAIXA 1;38;0;0;Divorciado(a);Superior Completo;21;Improcedente;1;Neutro;1
2095;CE;2023-2S;Detrator;FAIXA 1;49;0;0;Divorciado(a);Médio Completo;20;Não Solicitou;0;Detrator;0
2096;SP;2021-2S;Promotor;FAIXA 1;41;1;1;Divorciado(a);Médio Completo;33;Não Solicitou;0;Detrator;0
2097;BA;2022-2S;Neutro;FAIXA 3;33;0;0;Solteiro(a);Médio Completo;28;Improcedente;0;Detrator;0
2098;BA;2022-2S;Detrator;FAIXA 2;32;1;1;Solteiro(a);Superior Completo;28;Procedente;1;Detrator;0
2099;SP;2022-1S;Promotor;FAIXA 2;39;1;1;Solteiro(a);Médio Completo;36;Procedente;2;Detrator;0
2100;SP;2022-1S;Promotor;FAIXA 1;32;0;0;Solteiro(a);Médio Completo;36;Improcedente;0;Detrator;0
2101;SP;2022-1S;Neutro;FAIXA 1;54;0;0;Casado(a);Médio Completo;36;Não Solicitou;0;Detrator;0
2102;SP;2022-1S;Promotor;FAIXA 2;41;0;0;Solteiro(a);Médio Completo;36;Improcedente;0;Detrator;0
2103;SP;2022-1S;Promotor;FAIXA 2;38;0;0;Casado(a);Médio Completo;36;Não Solicitou;0;Detrator;0
2104;SP;2022-1S;Promotor;FAIXA 1;34;1;1;Solteiro(a);Médio Completo;36;Não Solicitou;0;Promotor;2
2105;SP;2022-1S;Detrator;FAIXA 1;29;0;0;Solteiro(a);Médio Completo;36;Não Solicitou;0;Promotor;2
